,1. open,2. high,3. low,4. close,5. volume
2026-04-23,313.52,314.99,308.89,311.69,6969656.0
2026-04-22,314.85,315.1486,311.9404,313.02,5545909.0
2026-04-21,317.49,320.235,312.75,313.0,7084264.0
2026-04-20,310.85,317.13,310.37,316.99,10772003.0
2026-04-17,312.47,314.9,310.09,310.29,11082391.0
2026-04-16,305.35,309.95,305.2,309.95,8208612.0
2026-04-15,313.95,314.24,304.26,305.93,9885824.0
2026-04-14,309.82,314.32,308.87,311.12,11455513.0
2026-04-13,307.47,313.74,305.4571,313.68,8318221.0
2026-04-10,310.0,310.35,306.72,309.87,6069693.0
2026-04-09,306.95,311.26,306.11,310.33,6586601.0
2026-04-08,307.97,311.26,305.33,307.97,10590165.0
2026-04-07,293.14,298.18,292.6982,297.4,7849083.0
2026-04-06,294.06,296.83,293.195,295.45,7142621.0
2026-04-02,291.91,295.62,288.72,294.6,6669252.0
2026-04-01,295.39,298.72,292.91,295.38,11267167.0
2026-03-31,288.47,295.072,284.945,294.16,12956879.0
2026-03-30,284.74,287.25,282.33,283.77,11734351.0
2026-03-27,289.14,290.11,281.75,282.84,9873292.0
2026-03-26,292.58,294.9899,290.73,291.66,8669196.0
2026-03-25,294.15,297.64,292.44,295.42,12188164.0
2026-03-24,286.17,295.48,285.3701,292.4,11092328.0
2026-03-23,294.31,295.75,287.97,289.91,11470841.0
2026-03-20,288.08,290.71,285.27,286.56,22436492.0
2026-03-19,286.88,289.51,284.62,287.97,9846696.0
2026-03-18,286.83,289.405,285.1223,287.74,10057039.0
2026-03-17,289.0,291.76,285.95,286.89,8961193.0
2026-03-16,286.34,289.2699,284.61,286.16,8149008.0
2026-03-13,284.665,287.19,282.95,283.44,9091183.0
2026-03-12,282.83,283.88,279.1,282.89,13760505.0
2026-03-11,288.81,290.4825,284.86,287.52,10204994.0
2026-03-10,289.29,292.75,287.18,288.73,8344876.0
2026-03-09,285.5,291.0999,280.45,289.92,12241052.0
2026-03-06,286.34,289.99,283.71,289.48,13496526.0
2026-03-05,297.98,301.24,292.43,293.55,12732488.0
2026-03-04,299.99,301.0,295.82,299.39,8055673.0
2026-03-03,292.285,302.39,289.5,300.26,10278216.0
2026-03-02,294.81,299.9799,293.21,297.56,8508910.0
2026-02-27,300.0,302.95,294.45,300.3,18620786.0
2026-02-26,304.58,309.01,303.64,306.13,7007804.0
2026-02-25,298.64,303.6599,297.01,303.3,8095520.0
2026-02-24,296.82,299.75,291.38,297.3,13554127.0
2026-02-23,308.8,311.0,295.1,297.67,12955428.0
2026-02-20,308.4,311.0,305.68,310.79,7792735.0
2026-02-19,307.17,309.18,305.12,308.05,6737705.0
2026-02-18,308.46,312.28,307.22,308.78,7209556.0
2026-02-17,302.76,308.24,302.5,307.13,8896753.0
2026-02-13,298.52,304.29,296.52,302.55,9114526.0
2026-02-12,312.28,313.62,300.02,302.64,13443363.0
2026-02-11,323.24,325.28,308.7301,310.82,8703519.0
2026-02-10,322.55,326.125,315.1201,318.28,9902224.0
2026-02-09,321.34,326.4,320.1149,322.1,11477473.0
2026-02-06,314.71,324.245,314.71,322.4,17797443.0
2026-02-05,315.0,316.01,305.54,310.16,9387999.0
