realtime_start,realtime_end,date,value
2026-05-29,2026-05-29,1969-02-01,98.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1969-03-01,.
2026-05-29,2026-05-29,1969-04-01,.
2026-05-29,2026-05-29,1969-05-01,91.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1969-06-01,.
2026-05-29,2026-05-29,1969-07-01,.
2026-05-29,2026-05-29,1969-08-01,86.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1969-09-01,.
2026-05-29,2026-05-29,1969-10-01,.
2026-05-29,2026-05-29,1969-11-01,79.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1969-12-01,.
2026-05-29,2026-05-29,1970-01-01,.
2026-05-29,2026-05-29,1970-02-01,78.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1970-03-01,.
2026-05-29,2026-05-29,1970-04-01,.
2026-05-29,2026-05-29,1970-05-01,75.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1970-06-01,.
2026-05-29,2026-05-29,1970-07-01,.
2026-05-29,2026-05-29,1970-08-01,77.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1970-09-01,.
2026-05-29,2026-05-29,1970-10-01,.
2026-05-29,2026-05-29,1970-11-01,72.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1970-12-01,.
2026-05-29,2026-05-29,1971-01-01,.
2026-05-29,2026-05-29,1971-02-01,78.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1971-03-01,.
2026-05-29,2026-05-29,1971-04-01,.
2026-05-29,2026-05-29,1971-05-01,80.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1971-06-01,.
2026-05-29,2026-05-29,1971-07-01,.
2026-05-29,2026-05-29,1971-08-01,82.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1971-09-01,.
2026-05-29,2026-05-29,1971-10-01,.
2026-05-29,2026-05-29,1971-11-01,82.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1971-12-01,.
2026-05-29,2026-05-29,1972-01-01,.
2026-05-29,2026-05-29,1972-02-01,92.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1972-03-01,.
2026-05-29,2026-05-29,1972-04-01,.
2026-05-29,2026-05-29,1972-05-01,88.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1972-06-01,.
2026-05-29,2026-05-29,1972-07-01,.
2026-05-29,2026-05-29,1972-08-01,95.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1972-09-01,.
2026-05-29,2026-05-29,1972-10-01,.
2026-05-29,2026-05-29,1972-11-01,90.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1972-12-01,.
2026-05-29,2026-05-29,1973-01-01,.
2026-05-29,2026-05-29,1973-02-01,81.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1973-03-01,.
2026-05-29,2026-05-29,1973-04-01,.
2026-05-29,2026-05-29,1973-05-01,77.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1973-06-01,.
2026-05-29,2026-05-29,1973-07-01,.
2026-05-29,2026-05-29,1973-08-01,72.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1973-09-01,.
2026-05-29,2026-05-29,1973-10-01,.
2026-05-29,2026-05-29,1973-11-01,76.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1973-12-01,.
2026-05-29,2026-05-29,1974-01-01,.
2026-05-29,2026-05-29,1974-02-01,61.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1974-03-01,.
2026-05-29,2026-05-29,1974-04-01,.
2026-05-29,2026-05-29,1974-05-01,72.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1974-06-01,.
2026-05-29,2026-05-29,1974-07-01,.
2026-05-29,2026-05-29,1974-08-01,64.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1974-09-01,.
2026-05-29,2026-05-29,1974-10-01,.
2026-05-29,2026-05-29,1974-11-01,59.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1974-12-01,.
2026-05-29,2026-05-29,1975-01-01,.
2026-05-29,2026-05-29,1975-02-01,57.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1975-03-01,.
2026-05-29,2026-05-29,1975-04-01,.
2026-05-29,2026-05-29,1975-05-01,72.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1975-06-01,.
2026-05-29,2026-05-29,1975-07-01,.
2026-05-29,2026-05-29,1975-08-01,75.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1975-09-01,.
2026-05-29,2026-05-29,1975-10-01,.
2026-05-29,2026-05-29,1975-11-01,75.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1975-12-01,.
2026-05-29,2026-05-29,1976-01-01,.
2026-05-29,2026-05-29,1976-02-01,84.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1976-03-01,.
2026-05-29,2026-05-29,1976-04-01,.
2026-05-29,2026-05-29,1976-05-01,83.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1976-06-01,.
2026-05-29,2026-05-29,1976-07-01,.
2026-05-29,2026-05-29,1976-08-01,89.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1976-09-01,.
2026-05-29,2026-05-29,1976-10-01,.
2026-05-29,2026-05-29,1976-11-01,87.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1976-12-01,.
2026-05-29,2026-05-29,1977-01-01,.
2026-05-29,2026-05-29,1977-02-01,87.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1977-03-01,.
2026-05-29,2026-05-29,1977-04-01,.
2026-05-29,2026-05-29,1977-05-01,90.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1977-06-01,.
2026-05-29,2026-05-29,1977-07-01,.
2026-05-29,2026-05-29,1977-08-01,89.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1977-09-01,.
2026-05-29,2026-05-29,1977-10-01,.
2026-05-29,2026-05-29,1977-11-01,84.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1977-12-01,.
2026-05-29,2026-05-29,1978-01-01,83.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-02-01,84.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-03-01,78.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-04-01,81.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-05-01,82.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-06-01,80.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-07-01,82.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-08-01,78.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-09-01,80.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-10-01,79.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-11-01,75.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1978-12-01,66.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-01-01,72.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-02-01,73.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-03-01,68.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-04-01,66.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-05-01,68.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-06-01,65.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-07-01,60.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-08-01,64.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-09-01,66.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-10-01,62.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-11-01,63.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1979-12-01,61.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-01-01,67.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-02-01,66.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-03-01,56.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-04-01,52.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-05-01,51.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-06-01,58.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-07-01,62.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-08-01,67.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-09-01,73.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-10-01,75.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-11-01,76.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1980-12-01,64.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-01-01,71.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-02-01,66.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-03-01,66.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-04-01,72.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-05-01,76.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-06-01,73.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-07-01,74.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-08-01,77.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-09-01,73.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-10-01,70.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-11-01,62.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1981-12-01,64.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-01-01,71.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-02-01,66.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-03-01,62.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-04-01,65.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-05-01,67.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-06-01,65.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-07-01,65.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-08-01,65.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-09-01,69.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-10-01,73.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-11-01,72.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1982-12-01,71.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-01-01,70.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-02-01,74.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-03-01,80.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-04-01,89.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-05-01,93.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-06-01,92.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-07-01,92.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-08-01,90.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-09-01,89.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-10-01,89.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-11-01,91.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1983-12-01,94.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-01-01,100.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-02-01,97.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-03-01,101.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-04-01,96.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-05-01,98.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-06-01,95.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-07-01,96.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-08-01,99.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-09-01,100.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-10-01,96.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-11-01,95.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1984-12-01,92.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-01-01,96.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-02-01,93.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-03-01,93.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-04-01,94.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-05-01,91.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-06-01,96.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-07-01,94.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-08-01,92.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-09-01,92.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-10-01,88.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-11-01,90.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1985-12-01,93.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-01-01,95.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-02-01,95.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-03-01,95.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-04-01,96.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-05-01,94.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-06-01,99.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-07-01,97.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-08-01,94.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-09-01,91.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-10-01,95.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-11-01,91.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1986-12-01,89.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-01-01,90.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-02-01,90.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-03-01,90.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-04-01,92.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-05-01,91.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-06-01,91.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-07-01,93.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-08-01,94.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-09-01,93.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-10-01,89.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-11-01,83.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1987-12-01,86.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-01-01,90.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-02-01,91.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-03-01,94.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-04-01,91.2000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-05-01,94.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-06-01,94.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-07-01,93.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-08-01,97.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-09-01,97.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-10-01,94.1000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-11-01,93.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1988-12-01,91.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-01-01,97.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-02-01,95.4000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-03-01,94.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-04-01,91.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-05-01,90.7000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-06-01,90.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-07-01,92.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-08-01,89.6000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-09-01,95.8000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-10-01,93.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-11-01,90.9000000000000000000000000000000000000000
2026-05-29,2026-05-29,1989-12-01,90.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1990-01-01,93.0000000000000000000000000000000000000000
2026-05-29,2026-05-29,1990-02-01,89.5000000000000000000000000000000000000000
2026-05-29,2026-05-29,1990-03-01,91.3000000000000000000000000000000000000000
2026-05-29,2026-05-29,1990-04-01,93.9000000000000000000000000000000000000000
