,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2026-01-21,303.425,305.4,301.15,302.04,10270144.0,4.25,1.4070983975632365
2026-01-22,304.86,308.2,302.9,303.63,10535822.0,5.300000000000011,1.745545565326223
2026-01-23,302.0,302.37,296.51,297.72,11107925.0,5.860000000000014,1.9682923552331093
2026-01-26,297.81,301.775,297.45,301.04,11752666.0,4.324999999999989,1.436686154663828
2026-01-27,301.33,301.97,298.15,300.31,11328683.0,3.82000000000005,1.2720189137891014
2026-01-28,300.27,301.92,298.05,300.77,9556743.0,3.8700000000000045,1.2866974764770438
2026-01-29,302.4,306.83,302.215,306.42,11579987.0,4.615000000000009,1.5061027348084357
2026-01-30,305.25,307.93,302.555,305.89,11953180.0,5.375,1.7571676092713067
2026-02-02,304.46,309.3,301.37,308.14,9839360.0,7.930000000000007,2.573505549425588
2026-02-03,309.73,316.25,309.095,314.85,11022015.0,7.154999999999973,2.2725107193901772
2026-02-04,314.405,319.305,314.405,317.27,9848802.0,4.900000000000034,1.5444258833170594
2026-02-05,315.0,316.01,305.54,310.16,9387999.0,10.46999999999997,3.3756770698993974
2026-02-06,314.71,324.245,314.71,322.4,17797443.0,9.535000000000025,2.957506203473953
2026-02-09,321.34,326.4,320.1149,322.1,11477473.0,6.2851,1.9512884197454203
2026-02-10,322.55,326.125,315.1201,318.28,9902224.0,11.00490000000002,3.457615935654148
2026-02-11,323.24,325.28,308.7301,310.82,8703519.0,16.54989999999998,5.324593012032682
2026-02-12,312.28,313.62,300.02,302.64,13443363.0,13.600000000000023,4.493787998942646
2026-02-13,298.52,304.29,296.52,302.55,9114526.0,7.770000000000039,2.5681705503222734
2026-02-17,302.76,308.24,302.5,307.13,8896753.0,5.740000000000009,1.8689154429720343
2026-02-18,308.46,312.28,307.22,308.78,7209556.0,5.059999999999945,1.6387071701534899
2026-02-19,307.17,309.18,305.12,308.05,6737705.0,4.060000000000002,1.317967862360007
2026-02-20,308.4,311.0,305.68,310.79,7792735.0,5.319999999999993,1.711766787863185
2026-02-23,308.8,311.0,295.1,297.67,12955428.0,15.899999999999977,5.341485537675942
2026-02-24,296.82,299.75,291.38,297.3,13554127.0,8.370000000000005,2.8153380423814345
2026-02-25,298.64,303.6599,297.01,303.3,8095520.0,6.649900000000002,2.192515661061656
2026-02-26,304.58,309.01,303.64,306.13,7007804.0,5.3700000000000045,1.7541567308006416
2026-02-27,300.0,302.95,294.45,300.3,18620786.0,8.5,2.8305028305028306
2026-03-02,294.81,299.9799,293.21,297.56,8508910.0,6.769900000000007,2.2751377873370098
2026-03-03,292.285,302.39,289.5,300.26,10278216.0,12.889999999999986,4.2929461133684095
2026-03-04,299.99,301.0,295.82,299.39,8055673.0,5.180000000000007,1.7301847089081155
2026-03-05,297.98,301.24,292.43,293.55,12732488.0,8.810000000000002,3.001192301141203
2026-03-06,286.34,289.99,283.71,289.48,13496526.0,6.28000000000003,2.169407212933546
2026-03-09,285.5,291.0999,280.45,289.92,12241052.0,10.649900000000002,3.673392660044151
2026-03-10,289.29,292.75,287.18,288.73,8344876.0,5.569999999999993,1.9291379489488423
2026-03-11,288.81,290.4825,284.86,287.52,10204994.0,5.622500000000002,1.9555161380077914
2026-03-12,282.83,283.88,279.1,282.89,13760505.0,4.779999999999973,1.6897027113012029
2026-03-13,284.665,287.19,282.95,283.44,9091183.0,4.240000000000009,1.495907423087782
